HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
hraniti	_	hraniti, negovati	0	0	0	0	0	0	0	0	0	0
hrana	voeding	hrana, prehranjevanje	1	0	0	0	0	0	0	0	0	0
nov	_	nov	0	0	0	0	0	0	0	0	0	0
novost, novina	_	novost	0	0	0	0	0	0	0	0	0	0
novak	_	za?etnik, novinec	0	0	0	0	0	0	0	0	0	0
danas	_	dandanes	0	0	0	0	0	0	0	0	0	0
škodljiv, štetan	schadelijk	toksi?en, ogaben	0	1	0	0	1	1	0	0	0	0
mlaznica, štrcaljka	_	šoba, nastavek	0	0	0	0	0	0	0	0	0	0
nijansa	_	niansa	0	0	0	0	0	0	0	0	0	0
nijanse	_	odtenek	0	0	0	0	0	0	0	0	0	0
jezgra	_	jedro	0	0	0	0	0	0	0	0	0	0
gol	_	gol, nag	0	0	0	0	0	0	0	0	0	0
gurkati	_	dregati, sunek	0	0	0	0	0	0	0	0	0	0
nagost	_	golota	0	0	0	0	0	0	0	0	0	0
grumen	_	kepa, kroket	0	0	0	0	0	0	0	0	0	0
smetnja	last, hinder, ongemak	neprijetnost, nadležnost	0	1	1	0	0	0	0	0	0	0
ništavan	nul	ni?en	0	1	0	0	0	0	0	0	0	0
nula	_	ni?en, neveljaven	0	0	0	0	0	0	0	0	0	0
poništiti	tenietdoen, nietig verklaren	razveljaviti	0	1	0	0	0	0	0	0	1	0
obamro, uko?en, utrnuo	lam, doof, verdoven	otepel	0	1	0	0	0	0	0	0	0	0
broj	_	številka	0	0	0	0	0	0	0	0	0	0
numeracija	_	števil?enje	0	0	0	0	0	0	0	0	0	0
brojevi	getallen	številka	1	0	0	0	0	0	0	0	0	0
utrnulost, uko?enost	doof gevoel, doofheid, lamheid, lam gevoel	otopelost	0	1	0	0	0	0	0	1	0	0
broj?ani	_	števka, števnik	0	0	0	0	0	0	0	0	0	0
broja?	_	števec	0	0	0	0	0	0	0	0	0	0
numeri?ki	_	numeri?en	0	0	0	0	0	0	0	0	0	0
numeri?ki	_	števil?en	0	0	0	0	0	0	0	0	0	0
brojan	_	številen	0	0	0	0	0	0	0	0	0	0
redovnica	non	nuna	0	1	0	0	0	0	0	0	0	1
medicinska sestra	verpleegster, zuster	medicinska sestra	1	0	0	0	0	0	0	0	0	1
jaslice	kwekerij	jasli	1	0	0	0	0	0	1	0	0	1
njegovanje, njegovati	opvoeden, koesteren	vzgajati, vzgoja	1	0	1	1	1	1	1	0	0	1
muškatni oraš?i?	_	muškatni oreš?ek	0	0	0	0	0	0	0	0	0	0
ishrana	_	prehrana	0	0	0	0	0	0	0	0	0	0
hranljiv	voedzaam	hranljiv, hranjen	1	0	0	0	0	0	0	1	0	0
hranljiv	_	hranljiv	0	0	0	0	0	0	0	0	0	0
orah	_	oreš?ki	0	0	0	0	0	0	0	0	0	0
nimfa	_	nimfa	0	0	0	0	0	0	0	0	0	0
klipan, glupan, mulac	pummel, eikel	štor	0	1	0	0	0	0	0	0	0	0
hrast	eik	hrast	1	0	0	0	0	0	0	0	0	0
veslo	_	veslo	0	0	0	0	0	0	0	0	0	0
oaza	oase	oaza	1	0	0	1	0	0	1	0	0	1
zakletva	eed	prisega, zaprisega	1	0	0	0	0	0	0	0	0	1
zobena kaša	_	ovsen	0	0	0	0	0	0	0	0	0	0
poslušnost	gehoorzaamheid	poslušnost	1	0	0	0	0	0	0	0	0	1
poslušan	_	poslušen	0	0	0	0	0	0	0	0	0	0
poslušno	_	ubogljiv	0	0	0	0	0	0	0	0	0	0
obelisk	_	obelisk	0	0	0	0	0	0	0	0	0	0
gojazan, pretio, korpulentan	zwaarlijvig, obees	debel, predebel	0	1	0	0	1	0	0	0	0	0
gojaznost, pretilost	zwaarlijvigheid	debelost, prekomerna teža	0	1	0	0	1	0	0	1	0	0
slušati	gehoorzamen	ubogati	0	0	0	0	0	1	0	0	0	1
vradžbina	obi	NO TRANSLATION	0	1	0	0	1	1	0	0	0	0
osmrtnica	doodsbrief, rouwbericht	osmrtnica, nekrolog	0	1	0	0	0	0	0	1	1	0
osmrtnica	doodsbrief, rouwbericht	osmrtnica, nekrolog	0	1	0	0	0	0	0	1	0	0
objekt, predmet	_	predmet	0	0	0	0	0	0	0	0	0	0
prigovor	bezwaar	ugovor	0	1	1	0	0	0	0	0	0	0
nepoželjan, neugodan, neprijatan, nedopušten	verwerpelijk	sporen	0	1	0	0	0	0	0	0	0	0
objektivan	doelstelling, objectief	cilj, objektiven	1	0	0	1	0	0	0	0	0	1
obaveza	_	obveznost	0	0	0	0	0	0	0	0	0	0
obavezan	_	obvezen	0	0	0	0	0	0	0	0	0	0
zadužiti	verplichten	dolžan, obvezati	0	1	0	0	0	0	0	0	0	1
obvezan	_	prisiljen	0	0	0	0	0	0	0	0	0	0
uslužan	bereidwillig	ustrežljiv	1	0	1	1	1	1	1	0	1	1
dužnik	schuldenaar	dolžnik	0	1	0	0	0	1	0	0	0	0
nagnut	_	poševen	0	0	0	0	0	0	0	0	0	0
uništiti	uitwissen	uni?iti, izbrisati	0	1	1	0	0	1	0	1	0	0
izbrisan, uništen	uitgewist	uni?en, izbrisan	0	1	1	0	0	1	0	0	0	0
uništenje	afstempeling	uni?enje	0	1	0	0	0	1	0	1	0	0
zaborav	vergetelheid	pozaba	0	1	1	0	0	1	0	0	0	0
nesvjestan	_	ne zavedati se	0	0	0	0	0	0	0	0	0	0
duguljast	_	pravokotnik, pravokoten	0	0	0	0	0	0	0	0	0	0
odvratan	onaangenaam, aanstootgevend	ostuden, zoprn	0	1	1	0	1	0	0	1	0	0
oboa	_	oboa	0	0	0	0	0	0	0	0	0	0
opscen, sramotan, bestidan, razvratan	obsceen	opolzek, odvraten	0	1	0	0	1	0	0	0	0	0
opscenost, bludnost	obsceniteit	opolzkost, nespodobnost	0	1	1	0	1	0	0	0	0	0
nepoznat	_	nejasen, neznan	0	0	0	0	0	0	0	0	0	0
skriven	_	zakrit	0	0	0	0	0	0	0	0	0	0
zaborav	duisternis, obscuriteit	nejasnost	0	1	0	0	0	0	0	0	0	0
pridržavanje	_	upoštevanje, spoštovanje	0	0	0	0	0	0	0	0	0	0
pozoran, pronicljiv	observant	pozoren	1	0	0	0	0	0	0	0	0	0
zapažanje	_	opazovanje	0	0	0	0	0	0	0	0	0	0
zvjezdarnica, opservatorij	_	observatorij	0	0	0	0	0	0	0	0	0	0
promatrati	_	opazovati	0	0	0	0	0	0	0	0	0	0
promatra?	_	opazovalec	0	0	0	0	0	0	0	0	0	0
promatranje	_	opazovanje	0	0	0	0	0	0	0	0	0	0
opsesija	_	obsedenost	0	0	0	0	0	0	0	0	0	0
zastarjelost	_	zastarelost	0	0	0	0	0	0	0	0	0	0
zapreka, prepreka, smetnja	hindernis, obstakel	ovira	0	1	1	0	0	1	0	1	0	0
porodni?ar	verloskundige	porodni?ar	0	0	0	0	0	0	0	0	0	1
primateljstvo	_	porodništvo	0	0	0	0	0	0	0	0	0	0
tvrdoglav	koppig	trmast	0	1	0	0	0	0	0	0	0	0
zakr?iti, preprije?iti, opstruirati	belemmeren	zavirati	0	1	1	0	0	1	0	0	0	0
opstrukcija	obstructie	zapora	0	1	0	0	0	0	0	0	0	0
opstruktivan	belemmerend	zaviralen	0	1	1	0	0	0	0	0	0	0
dobiti	_	pridobiti	0	0	0	0	0	0	0	0	0	0
dostižan	verkrijgbaar	dosegljiv	1	0	0	0	0	0	1	0	0	0
tup	stomp	top	0	1	0	0	0	0	0	0	0	0
suprotnost	_	nasproten, obraten	0	0	0	0	0	0	0	0	0	0
o?igledan, o?it	duidelijk, voor de hand liggend	o?iten	1	0	0	0	0	0	0	0	0	1
okarina	_	okarina	0	0	0	0	0	0	0	0	0	0
prilika	_	priložnost	0	0	0	0	0	0	0	0	0	0
povremen	occasioneel	ob?asen	0	0	0	0	0	0	0	0	1	0
povremeno	_	ob?asno	0	0	0	0	0	0	0	0	0	0
okluzija	_	okluzija	0	0	0	0	0	0	0	0	0	0
okultan	occult	okulten	0	1	0	0	1	1	0	0	0	0
stanovanje	_	zasedenost, uporaba	0	0	0	0	0	0	0	0	0	0
stanar	bewoner	stanovalec	1	0	0	0	0	0	0	0	0	1
zanimanje	bezetting	poklic	1	0	0	0	0	0	0	0	0	0
zauzet	_	zaseden	0	0	0	0	0	0	0	0	0	0
okupator	_	okupator	0	0	0	0	0	0	0	0	0	0
zauzeti	bezetten	zavzeti	1	0	0	0	0	0	0	0	0	0
zauzimanje	_	zasedati	0	0	0	0	0	0	0	0	0	0
dogoditi se	_	zgoditi	0	0	0	0	0	0	0	0	0	0
pojava	_	pojav	0	0	0	0	0	0	0	0	0	0
ocean	_	ocean	0	0	0	0	0	0	0	0	0	0
oceanski	_	oceanski	0	0	0	0	0	0	0	0	0	0
osmerokut	_	osmerokotnik	0	0	0	0	0	0	0	0	0	0
oktava	_	oktava	0	0	0	0	0	0	0	0	0	0
hobotnica	octopus	hobotnica	0	0	0	0	1	0	0	0	0	0
o?ni	_	okular	0	0	0	0	0	0	0	0	0	0
nastranost	vreemdheid	?udak, ?udno	0	1	0	0	1	0	0	1	1	0
izgledi	_	možnost, verjetnost	0	0	0	0	0	0	0	0	0	0
oda	_	oda	0	0	0	0	0	0	0	0	0	0
odvratan	verfoeilijk	gnusen, zoprn	0	1	1	0	1	1	0	0	0	0
broja? kilometara	_	kilometrski števec	0	0	0	0	0	0	0	0	0	0
smrad	geur	vonj	0	1	0	0	0	0	0	0	0	0
estrogen	_	estrogen	0	0	0	0	0	0	0	0	0	0
opus	_	opus, delo	0	0	0	0	0	0	0	0	0	0
iznutrice, strvina, drob, otpaci	_	drobovina	0	0	0	0	0	0	0	0	0	0
uvrijediti	beledigen	užaliti	0	1	1	0	1	0	0	0	0	0
uvrije?en	beledigd	užaljen	0	1	1	0	0	0	0	1	0	0
prijestupnik	overtreder	storilec, prestopnik	0	1	1	0	1	1	0	1	0	0
prekršaj	overtreding	prekršek, kaznivo dejanje	0	1	1	0	1	1	0	1	0	0
uvredljiv	aanvallend	žaljiv	0	1	1	0	1	0	0	0	0	0
ponuda	aanbod, aanbieden	ponuditi	1	0	0	0	0	0	0	0	0	0
ponu?en	_	ponujen	0	0	0	0	0	0	0	0	0	0
ponuda	offer	ponujanje	0	0	0	0	0	0	0	0	0	1
nepripravan, neuljudan, bezobziran	onvoorbereid	nevljuden	0	1	0	0	0	0	0	0	0	0
ured	_	urad	0	0	0	0	0	0	0	0	0	0
?asnik	agent	?astnik, uradnik	1	0	0	0	0	0	0	0	0	1
ured	_	pisarna, poslovalnica	0	0	0	0	0	0	0	0	0	0
služben	officieel	uraden	0	0	0	0	0	0	0	0	0	1
obavljati	_	voditi, soditi	0	0	0	0	0	0	0	0	0	0
pu?ina	zee	bližati se	0	1	0	0	0	0	0	0	0	0
istovariti	_	raztovoriti, znebiti	0	0	0	0	0	0	0	0	0	0
kompenzirati	einde, eind, afzet	kompenzirati	1	0	0	1	0	0	0	0	0	0
mladica	zijtak, vertakking	poganjek	1	0	0	0	0	0	0	0	0	0
zale?e	_	notranji	0	0	0	0	0	0	0	0	0	0
?esto	_	pogosto	0	0	0	0	0	0	0	0	0	0
?esto	_	pogostoma	0	0	0	0	0	0	0	0	0	0
ljudožder, ?udovište	oger	pošast, zmaj	0	1	0	0	1	1	0	0	0	0
ulje	_	olje	0	0	0	0	0	0	0	0	0	0
ulja	_	nafta	0	0	0	0	0	0	0	0	0	0
mast, pomast, pomada	_	mazilo	0	0	0	0	0	0	0	0	0	0
stariji	ouder	starejši	0	0	0	0	0	0	0	1	0	0
njušni, olfaktorni	olfactorisch	vohalen	0	1	0	1	0	0	0	0	0	0
oligarhija	oligarchie	oligarhija	0	1	0	0	0	0	0	0	0	0
maslina	_	oljka	0	0	0	0	0	0	0	0	0	0
omega	_	omega	0	0	0	0	0	0	0	0	0	0
omlet	_	omleta	0	0	0	0	0	0	0	0	0	0
slutnja, omen	voorteken, omen	omen, znamenje	0	1	0	1	0	1	0	0	0	0
zloslutan	onheilspellend	zloveš?	0	1	0	1	0	1	0	0	0	0
propust	_	opustitev	0	0	0	0	0	0	0	0	0	0
izostaviti	weglaten	izpustiti	0	1	0	0	0	0	0	0	0	0
izostavljen	_	izpuš?en	0	0	0	0	0	0	0	0	0	0
omnibus	_	omnibus, zbornik	0	0	0	0	0	0	0	0	0	0
svemo?	almacht	vsemogo?nost	1	1	0	0	0	1	0	0	0	0
svemogu?	_	vsemogo?en	0	0	0	0	0	0	0	0	0	0
sveprisutan	_	vseprisoten, vsenavzo?en	0	0	0	0	0	0	0	0	0	0
sveznaju?i	alwetend	vseveden	1	0	0	0	0	0	0	0	0	1
onkolog	_	onkolog	0	0	0	0	0	0	0	0	0	0
jedinstvo	_	istovetnost	0	0	0	0	0	0	0	0	0	0
tegoban	belastend	težaven	0	1	1	0	0	0	0	1	0	0
sebe	_	sebe	0	0	0	0	0	0	0	0	0	0
teku?i	voortdurende	v teku, sedanji	0	0	0	1	0	0	0	0	0	0
luk	_	?ebula	0	0	0	0	0	0	0	0	0	0
po?etak	begin, start, aanzet	za?etek	0	0	0	1	0	0	0	0	0	0
juriš, napad	_	napad, naval	0	0	0	0	0	0	0	0	0	0
ontologija	_	ontologija	0	0	0	0	0	0	0	0	0	0
breme	bewijslast	breme	0	1	0	0	0	0	0	0	0	0
naprijed	_	naprej	0	0	0	0	0	0	0	0	0	0
oniks	_	oniks	0	0	0	0	0	0	0	0	0	0
mulj, talog	slijk	mulj, curljati	0	1	0	0	1	0	0	0	0	0
cure?i	_	curljanje	0	0	0	0	0	0	0	0	0	0
neprozirnost	_	motnost	0	0	0	0	0	0	0	0	0	0
opal	_	opal	0	0	0	0	0	0	0	0	0	0
mutan	ondoorzichtig	moten	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
otvoren	_	odprt	0	0	0	0	0	0	0	0	0	0
otvara?	_	odpira?	0	0	0	0	0	0	0	0	0	0
otvor	_	odprtje	0	0	0	0	0	0	0	0	0	0
otvoreno	_	odkrito, javno	0	0	0	0	0	0	0	0	0	0
otvorenost	openheid	odkritost	1	0	0	0	0	0	0	0	0	0
opera	opera	opera	1	0	1	1	0	1	1	1	1	1
operni	opera-	operen	0	1	0	0	0	0	0	0	0	0
djelovanje	operatie	delovanje	0	0	0	0	0	1	0	0	0	1
operacija	_	operacija	0	0	0	0	0	0	0	0	0	0
operativan	_	operativen	0	0	0	0	0	0	0	0	0	0
operater	_	operater	0	0	0	0	0	0	0	0	0	0
o?ni	_	oftalmološki	0	0	0	0	0	0	0	0	0	0
oftalmolog	_	oftalmolog	0	0	0	0	0	0	0	0	0	0
opijat	opiaat	opiat	0	1	0	0	0	0	0	0	0	0
mišljenje	_	mnenje	0	0	0	0	0	0	0	0	0	0
tvrdoglav, svojevoljan	eigenzinnig	dogmati?en, zaverovan	0	1	1	0	0	0	0	0	0	0
opijum	opium	opij	0	1	1	0	1	1	0	1	0	0
protivnik	tegenstander	nasprotnik	0	1	1	1	1	1	0	0	0	0
prikladan, povoljan, pravovremen, podesan	gunstig	primeren	1	0	0	0	0	0	1	0	0	0
oportunizam	_	oportunizem	0	0	0	0	0	0	0	0	0	0
prilika	kans	priložnost	1	0	0	1	0	0	0	0	0	0
protiviti se	zich verzetten tegen	nasprotovati	0	1	0	0	0	0	0	0	0	0
suprotstavljen	gekant tegen	nasprotujo?	0	1	1	0	0	1	0	0	0	0
nasuprotan	_	nasprotujo?	0	0	0	0	0	0	0	0	0	0
suprotan	_	nasproten	0	0	0	0	0	0	0	0	0	0
suprotnosti	_	nasprotje	0	0	0	0	0	0	0	0	0	0
opozicija	oppositie	opozicija	0	1	1	0	0	0	0	0	0	0
ugnjetavati	onderdrukken	zatreti	0	1	1	0	1	1	0	1	0	0
ugnjetavanje	onderdrukking	zatiranje	0	1	1	0	1	1	0	1	0	0
tiranski, ugnjeta?ki	onderdrukkend	zatirajo?	0	1	1	0	1	1	0	1	0	0
tla?itelj, ugnjeta?, tiranin	onderdrukker	zatiralec	0	1	1	0	0	1	0	1	0	0
opti?ki	_	optika	0	0	0	0	0	0	0	0	0	0
opti?ki	_	opti?en	0	0	0	0	0	0	0	0	0	0
optika	_	optika	0	0	0	0	0	0	0	0	0	0
optimizam	optimisme	optimizem	1	0	0	1	0	0	1	0	1	1
optimist	optimist	optimist	1	0	0	0	0	0	0	0	0	1
opcija, mogu?nost	keuze, optie	možnost	1	0	0	0	0	0	0	0	0	0
izboran	facultatief, optioneel	izbiren, neobvezen	1	0	0	0	0	0	0	0	0	0
izborno	_	neobvezen, izbiren	0	0	0	0	0	0	0	0	0	0
opcije	_	opcija	0	0	0	0	0	0	0	0	0	0
optometrist	_	optometrist	0	0	0	0	0	0	0	0	0	0
bogatstvo	_	obilje, razkošje	0	0	0	0	0	0	0	0	0	0
bogat	_	bogat	0	0	0	0	0	0	0	0	0	0
opus	_	opus	0	0	0	0	0	0	0	0	0	0
prorok	orakel	prerok	1	0	0	1	0	0	0	0	0	1
oralan	_	usten	0	0	0	0	0	0	0	0	0	0
naran?ast, naran?a	_	oranžna, pomaran?a	0	0	0	0	0	0	0	0	0	0
govor	oratie	govor, nagovor	1	0	0	0	0	0	0	0	0	0
govornik	_	govornik	0	0	0	0	0	0	0	0	0	0
oratorij	_	oratorij	0	0	0	0	0	0	0	0	0	0
sfera	_	krogla	0	0	0	0	0	0	0	0	0	0
orbita	_	orbita	0	0	0	0	0	0	0	0	0	0
orbitiranje	_	krožiti	0	0	0	0	0	0	0	0	0	0
kugle	_	obla	0	0	0	0	0	0	0	0	0	0
ork	orc	ork, orka	0	1	1	0	1	1	0	0	0	0
vo?njak	_	sadovnjak	0	0	0	0	0	0	0	0	0	0
orkestar	orkest	orkester	1	0	1	0	0	0	1	1	0	1
zare?en	gewijd, voorgeschreven	posve?en	1	0	0	0	0	0	0	0	0	1
iskušenje, mu?enje, kušnja	beproeving, lijdensweg	preizkušnja, muka	0	1	1	0	0	0	0	0	1	0
narudžba	_	red, naro?ilo	0	0	0	0	0	0	0	0	0	0
uredno	ordelijk	strežnik, urejen	1	0	0	0	0	0	0	0	0	0
propis	ordonnantie, verordening	predpis, odlok	0	0	0	0	0	0	0	0	0	1
obi?an	_	vsakdanji	0	0	0	0	0	0	0	0	0	0
ure?enje	wijding, inwijding	posve?enje	1	0	0	1	0	0	1	0	0	1
topništvo	geschut, munitie	topništvo	0	1	0	0	0	1	0	0	0	0
ruda	_	ruda	0	0	0	0	0	0	0	0	0	0
origano	_	origano	0	0	0	0	0	0	0	0	0	0
orgulje, organ	orgaan	organ	0	0	0	1	0	0	1	0	0	0
organski	organisch	organski, biološki	1	0	0	0	0	0	0	0	0	0
organizam	_	organizem	0	0	0	0	0	0	0	0	0	0
orguljaš	_	organist	0	0	0	0	0	0	0	0	0	0
ure?enost	organisatie	organizacija, organiziranost	1	0	0	1	0	0	1	0	1	1
urediti	organiseren	organizirati	1	0	0	0	0	0	0	0	0	0
ure?en	georganiseerd	organiziran	1	0	0	0	0	0	0	0	0	0
orgazam	orgasme	orgazem	1	0	0	1	0	0	1	0	0	0
orgije	_	orgija	0	0	0	0	0	0	0	0	0	0
orijentirati, usmjeriti	_	usmeriti, orient	0	0	0	0	0	0	0	0	0	0
orijentalni	_	orientalski	0	0	0	0	0	0	0	0	0	0
orijentacija, usmjerenje	_	usmeritev	0	0	0	0	0	0	0	0	0	0
otvor	_	odprtina	0	0	0	0	0	0	0	0	0	0
podrijetlo	_	poreklo	0	0	0	0	0	0	0	0	0	0
originalnost	oorspronkelijkheid	izvirnost	1	0	0	0	0	0	0	0	1	0
nastati, pote?i	_	izhajati	0	0	0	0	0	0	0	0	0	0
ishodište	_	izvor	0	0	0	0	0	0	0	0	0	0
za?etnik	_	originator	0	0	0	0	0	0	0	0	0	0
ornament, ukras	_	okras, ornament	0	0	0	0	0	0	0	0	0	0
ukrasni	_	okrasen	0	0	0	0	0	0	0	0	0	0
ukrašavanje	_	okrasje, okrasitev	0	0	0	0	0	0	0	0	0	0
ukrašen	versierde	okrašen	1	0	0	0	0	0	0	0	0	0
ukrašen, oki?en	sierlijk	baro?en	1	0	0	0	0	0	0	0	0	0
siro?e, sirotan	wees	sirota	0	1	0	0	0	1	0	1	0	0
pravovjeran	_	pravoslaven	0	0	0	0	0	0	0	0	0	0
pravoslavlje	orthodoxie	pravoslavec, pravoslaven	0	0	0	0	0	0	0	0	0	1
ortogonalan	_	pravokoten	0	0	0	0	0	0	0	0	0	0
oscilirati	_	nihati, kolebati	0	0	0	0	0	0	0	0	0	0
osciliraju?i	_	nihajo?	0	0	0	0	0	0	0	0	0	0
oscilacija	_	nihanje	0	0	0	0	0	0	0	0	0	0
osciliraju?i	_	nihalen	0	0	0	0	0	0	0	0	0	0
navodni	_	navidezen	0	0	0	0	0	0	0	0	0	0
tobožnji	ogenschijnlijk, zogenaamd	navidezen	0	1	0	0	0	0	0	0	0	0
noj	_	noj	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
otoman	_	otoman	0	0	0	0	0	0	0	0	0	0
unca	_	un?a, drobec	0	0	0	0	0	0	0	0	0	0
svrgnuti	verdrijven, verdringen	odstraniti	0	1	1	0	0	0	0	1	0	0
izbijanje	_	izbruh	0	0	0	0	0	0	0	0	0	0
izljev	uitbarsting	izbruh	1	1	1	0	0	1	1	1	1	0
izgnanik, prognanik, otpadnik, izop?enik	buitenstaander, verstotene	izob?enec, izob?en	0	1	0	0	1	1	0	1	0	0
u?inak	resultaat	izid	1	0	0	0	0	0	0	0	0	0
negodovanje	geschreeuw	protest	0	1	1	0	0	1	0	0	1	0
nadmašiti	overtreffen	prese?i	1	0	0	1	0	0	0	0	0	0
vanjski	_	zunaj	0	0	0	0	0	0	0	0	0	0
odje?a	_	obleka	0	0	0	0	0	0	0	0	0	0
prerasti	_	prerasti	0	0	0	0	0	0	0	0	0	0
izdanak	_	širitev, izrastek	0	0	0	0	0	0	0	0	0	0
zahod	bijgebouw	zunanje straniš?e	0	1	0	0	1	0	0	0	0	0
izlet	_	outing, razkritje, izlet	0	0	0	0	0	0	0	0	0	0
?udan, bizaran	vreemd, buitenlands	?uden, samosvoj	0	1	0	0	0	0	0	0	0	0
nadživjeti	_	preživeti	0	0	0	0	0	0	0	0	0	0
odmetnik, razmetnik, hajduk, izop?enik	bandiet	ubežnik, prepovedati	0	1	0	0	0	0	0	0	0	0
ispust	_	outlet, ventil	0	0	0	0	0	0	0	0	0	0
obris	_	osnutek	0	0	0	0	0	0	0	0	0	0
osnove	_	opis	0	0	0	0	0	0	0	0	0	0
pogled	_	pogled, obeti	0	0	0	0	0	0	0	0	0	0
udaljen	_	odmaknjen	0	0	0	0	0	0	0	0	0	0
brojno nadmašiti	_	števil?no prehiteti	0	0	0	0	0	0	0	0	0	0
predstraža	buitenpost	oporiš?e	0	0	0	0	0	1	0	0	0	0
izlijevanje	_	izliv, naval, iztok	0	0	0	0	0	0	0	0	0	0
izlaz	_	izhod	0	0	0	0	0	0	0	0	0	0
uvreda	verontwaardiging	ogor?enje	0	1	1	0	1	0	0	0	0	0
ne?uven	schandelijk	nezaslišan	0	0	0	0	0	0	0	0	1	0
odmah	_	popoln, popolnoma	0	0	0	0	0	0	0	0	0	0
pobje?i	_	pobegniti	0	0	0	0	0	0	0	0	0	0
polazak	_	za?etek	0	0	0	0	0	0	0	0	0	0
autsajder	buitenstaander	ne?lan	0	0	0	0	0	1	0	0	0	0
predgra?e, periferija	_	obrobje	0	0	0	0	0	0	0	0	0	0
otvoren, izravan	_	neposreden, odkrit	0	0	0	0	0	0	0	0	0	0
izvanredan	voortreffelijk	izjemen	1	1	0	0	0	0	1	0	0	0
ispružen	_	raztegnjen	0	0	0	0	0	0	0	0	0	0
vanjski	buitenwaarts, naar buiten	zunanji	1	0	0	0	0	0	0	0	0	0
van	_	navzven	0	0	0	0	0	0	0	0	0	0
prevagnuti	_	odtehtati	0	0	0	0	0	0	0	0	0	0
ovalan, oval	_	ovalen	0	0	0	0	0	0	0	0	0	0
jajnik	_	jaj?nik	0	0	0	0	0	0	0	0	0	0
jajolik	_	jaj?ast	0	0	0	0	0	0	0	0	0	0
ovacija	ovatie	ovacija	0	1	0	0	0	0	0	1	0	0
pe?nica	_	pe?ica	0	0	0	0	0	0	0	0	0	0
kombinezon	_	kombinezon	0	0	0	0	0	0	0	0	0	0
ohol, arogantan	hoogmoedig	aroganten	0	1	1	0	0	0	0	0	0	0
preopteretiti	overbelasten	preobremeniti	0	1	0	0	0	0	0	0	0	0
obla?an, zamra?iti	bewolking	obla?en	0	1	0	0	0	0	0	0	0	0
preoptere?en	_	preobremenjen	0	0	0	0	0	0	0	0	0	0
ogrta?	_	plaš?	0	0	0	0	0	0	0	0	0	0
pretjerati	overdrijven	pretiravati	0	1	0	0	0	0	0	0	0	0
predozirati	overdosis	overdoza, prevelik odmerek, predoziranje	0	1	0	0	0	0	0	0	0	0
prezadužen	achterstallig	zapadel	0	1	0	1	0	0	0	1	1	0
precijeniti	overschatten	preceniti	0	0	0	0	0	0	0	0	1	0
precijenjen	overschat	precenjen	0	1	0	0	0	0	0	0	0	0
poplava, prelijevanje	overloop	izlivanje	0	1	0	0	0	0	0	0	0	0
preplavljen	_	preplavljen	0	0	0	0	0	0	0	0	0	0
obrastao	overwoekerd	zaraš?en	0	1	0	0	0	0	0	0	0	0
raslinje	_	prekomerna rast	0	0	0	0	0	0	0	0	0	0
vise?i	_	previsen	0	0	0	0	0	0	0	0	0	0
remont	_	remont, pregled	0	0	0	0	0	0	0	0	0	0
gornji	_	prosojnica	0	0	0	0	0	0	0	0	0	0
presretan, oduševljen	dolblij	presre?en	1	0	0	0	0	0	1	0	0	0
prevu?en	_	prevle?en	0	0	0	0	0	0	0	0	0	0
preklapanje	_	prekrivati	0	0	0	0	0	0	0	0	0	0
prekriti	_	prevleka	0	0	0	0	0	0	0	0	0	0
preoptere?enje	overbelasten	preobremenitev, prenatrpanost	0	1	0	0	0	0	0	1	0	0
pokrovni	_	prekrivajo?	0	0	0	0	0	0	0	0	0	0
prepla?en	te veel betaald	prepla?an	0	1	0	0	0	0	0	0	0	0
nadvožnjak	_	nadvoz	0	0	0	0	0	0	0	0	0	0
potisnuti	overweldigen	nadvladati, zasuti	0	1	0	0	0	0	0	0	0	0
tegoban, porazan	overweldigend	nadvlada	0	1	1	0	0	1	0	0	0	0
precijenjen	te hoog geprijst	precenjen	0	1	1	0	1	0	0	1	0	0
nadvladati	_	zavrnitev	0	0	0	0	0	0	0	0	0	0
nadglasati	_	ovre?i, zavrniti	0	0	0	0	0	0	0	0	0	0
nadglednik, nadzornik	_	nadzornik	0	0	0	0	0	0	0	0	0	0
zasjeniti	_	zasen?iti	0	0	0	0	0	0	0	0	0	0
propust, omaška, previd	toezicht	spregled, spodrsljaj	0	1	0	0	0	0	0	0	0	0
uveli?avati	_	preceniti	0	0	0	0	0	0	0	0	0	0
previše	_	presežek	0	0	0	0	0	0	0	0	0	0
otvoren	openlijk	odkrit	0	0	0	0	0	1	0	0	0	0
presti?i	_	prehiteti	0	0	0	0	0	0	0	0	0	0
preteknut	_	prehiten	0	0	0	0	0	0	0	0	0	0
svrgnuti	omverwerpen, omvergooien	strmoglaviti, strmoglavljenje	0	1	0	1	0	1	0	0	0	0
uvertira	ouverture	uvertura	0	0	0	1	0	0	0	0	0	0
prevrnuti, oboriti, srušiti, svrgnuti	omvallen, omverwerpen	prevrniti	0	1	0	0	0	0	0	0	0	0
pretrpati, zatrpati	overweldigen	poplaviti	0	1	0	0	0	0	0	0	0	0
